brivla	1post	2pre	2post	3pre	4pre	5pre	noun1	noun2	noun3	noun4	noun5	adv1	adv2	adv3	adv4	adv5	adj1	adj2	adj3	adj4	adj5
aftobuso	is a bus, coach						bus, coach														
akti	is running	in service					active, in action	active operation													
alna	is an alder 	of species					alder	species of alder													
ankabuta	is a spider 	of species					spider	species of spider													
arte	is a piece of artwork						piece of artwork														
arxokuna	is a raccoon 	of species					raccoon	species of raccoon													
tolckire	feels resentment, bitterness 	towards		for action			resentful														
asna	is a posture, stance, asana 	of body					posture														
bacru	utters						utterer	uttered text or sound													
badna	is a banana fruit or plant 	of species					banana	banana species													
badri	is sad 	about					sad	sad event													
bajra	runs 	on surface		using limbs			runner	running surface	running limb												
bakfu	is a pack or bundle 	containing		held together by			pack, bundle	content of a pack													
bakni	is a cow or bovine 	of species					cow	species of cow													
bakri	is some chalk						chalk														
baktu	is a pail or bucket	containing					bucket	content of a bucket													
balji	is a bulb 	of plant					bulb (of a plant)														
balnema	is a baleen whale 	of species					baleen whale	species of baleen whale													
balni	is a balcony or shelf 	of structure					balcony	building with a balcony													
balre	is a blade 	of tool					blade	a tool or weapon with a blade													
balvi	is later	than					later event	earlier event													
bambola	is a doll						doll														
bambu	is a bamboo 	of variety					bamboo	species of bamboo													
bancu	is beyond boundary			from	in			boundary													
bandu	defends			from threat			defender	threat defended against													
banfi	is an amphibian of species						amphibian														
bangu	is a language 	used by		to express			language	user of a language													
banli	is great, magnificent 	in					something great														
banro	grows 	to size or into form		from																	
banxa	is a bank	owned by		for banking functions			bank	bank owner, bank system	function of bank												
banzu	is enough 	for	to take place				sufficient thing														
bapli	forces, convinces		to occur				force														
barda	is big	in dimension					large, big	dimension of largeness													
bargu	is an arch 	over or around					arch	something arched around													
barja	is a bar 	serving		to customers			bar	bar merchandise	bar customer												
barna	is a mark or spot 	on					mark, spot	something with mark/spot													
bartu	is outside 	of					something outside	something inside													
basna	emphasizes			by action			emphasizer	something emphasized													
basti	is a replacement 	for					replacement (object)	something replaced													
batci	bites or pinches		on/at				biter	bitten													
batke	is a button or knob	on					button														
bavmi	is barley 	of species					barley	species of barley													
baxso	is Malay-Indonesian 	in					Malaysian	Malaysian aspect													
bebna	is foolish 	in					fool	foolish action													
bekpi	is the back body-part 	of					back (of body)														
bemro	is North American 	in					North American														
bende	is a team or crew 	of persons		led by	for purpose		team	member of a team	leader of a team	purpose of a team											
bengo	is Bengal 	in					Bengali	Bengali aspect													
benji	transmits			to receiver	from origin	via	sender	receiver	transmission receiver	origin of a transmission	medium of transmission										
bersa	is a son 	of					son	parent of son													
berti	is to the north 	of					northern														
besna	is a brain 	of					brain	enitity with a brain													
betfu	is the abdomen	of					abdomen														
betka	is a beet 	of variety					beet	species of beet													
betri	is a tragedy 	for					tragedy	experiencer of tragedy													
bevri	brings, transports, carries			to	from	by path	carrier	cargo	cargo destination	cargo source	cargo route										
bidju	is a bead or pebble						pebble, bead														
bifce	is a bee or wasp 	of species					bee, wasp	species of bee/wasp													
bikla	whips or lashes						whipper	whipped													
bilga	is obligated 	to do		by agreement			obligated	obligation													
bilma	is ill or sick 	with symptoms		from disease			ill	symptom of an illness	disease												
bilni	is personnel 	organized in system		for purpose			personnel	workforce	purpose of workforce												
bindo	is Indonesian 	in					Indonesian														
binra	insures			against threat	with benefit		insurer, underwriter	insured thing or person		insurance compensation											
binxo	transforms 	into					something that becomes	something that is become													
biorka	is a birch 	of species					birch														
birje	is beer or ale 	brewed from					beer	beer ingredient													
birka	is an arm 	of body					arm														
birti	is convinced 	that	is true				convinced														
bisli	is ice						ice														
bitmu	is a wall, fence 	of		separating it from			fence, wall	building with walls													
bitri	is		bits in size				bits	number of bits													
blabi	is white						white														
blaci	is glass						glass (substance)														
blanu	is blue						blue														
blato	is a cockroach, termite 	of species					cockroach														
bliku	is a block						block														
blondine	has fair hair						blond														
brunete	has dark hair						brunet														
bloti	is a boat or ship 	for carrying					boat	cargo of a boat, passenger of a boat													
bolci	is a ball or sphere						ball														
bombila	is a light bulb						light bulb														
bongu	is a bone 	of					bone	bony structure													
boske	is a forest 	of					forest	forest organism													
